intervention,n,Prolif,MHCI,HLA_E_surface,NKG2A_brake,NKG2D_L,DNAM_active,Tcell_kill,NK_kill,ImmuneKill,Senescent,Cleared,TargetState
EpiPrime+Diff+BETi+NKarm+aNKG2A,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+NKarm+Tdeplete,5,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aNKG2A+Tdeplete,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT+NKarm,5,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT+aNKG2A,5,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT+Tdeplete,5,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+aPD1+NKarm+aNKG2A,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1+NKarm+Tdeplete,5,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aNKG2A+Tdeplete,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT+NKarm+aNKG2A,5,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT+NKarm+Tdeplete,5,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT+aNKG2A+Tdeplete,5,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+Diff+NKarm+aNKG2A+Tdeplete,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aTIGIT+NKarm,5,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aTIGIT+aNKG2A,5,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aTIGIT+Tdeplete,5,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+NKarm+aNKG2A,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+BETi+aPD1+NKarm+Tdeplete,5,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aNKG2A+Tdeplete,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT+NKarm+aNKG2A,5,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT+NKarm+Tdeplete,5,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT+aNKG2A+Tdeplete,5,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+BETi+NKarm+aNKG2A+Tdeplete,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT+NKarm+aNKG2A,5,1,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT+NKarm+Tdeplete,5,1,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT+aNKG2A+Tdeplete,5,1,1,1,0,0,1,1,0,1,0,1,0
EpiPrime+aPD1+NKarm+aNKG2A+Tdeplete,5,1,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+aTIGIT+NKarm+aNKG2A+Tdeplete,5,1,1,1,0,0,1,1,0,1,0,1,0
CDK46i+Diff+BETi+aPD1+aTIGIT,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+BETi+aPD1+NKarm,5,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aPD1+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aPD1+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aTIGIT+NKarm,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+BETi+aTIGIT+aNKG2A,5,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+Diff+BETi+aTIGIT+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+BETi+NKarm+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+NKarm+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1+aTIGIT+NKarm,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+aPD1+aTIGIT+aNKG2A,5,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+Diff+aPD1+aTIGIT+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+aPD1+NKarm+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1+NKarm+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+aTIGIT+NKarm+aNKG2A,5,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+Diff+aTIGIT+NKarm+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+aTIGIT+aNKG2A+Tdeplete,5,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+Diff+NKarm+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+BETi+aPD1+aTIGIT+NKarm,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+BETi+aPD1+aTIGIT+aNKG2A,5,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+BETi+aPD1+aTIGIT+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+BETi+aPD1+NKarm+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+BETi+aPD1+NKarm+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aPD1+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+BETi+aTIGIT+NKarm+aNKG2A,5,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+BETi+aTIGIT+NKarm+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+BETi+aTIGIT+aNKG2A+Tdeplete,5,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+BETi+NKarm+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+aPD1+aTIGIT+NKarm+aNKG2A,5,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+aPD1+aTIGIT+NKarm+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+aPD1+aTIGIT+aNKG2A+Tdeplete,5,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+aPD1+NKarm+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+aTIGIT+NKarm+aNKG2A+Tdeplete,5,0,1,1,0,1,1,0,1,1,1,1,1
Diff+BETi+aPD1+aTIGIT+NKarm,5,0,0,0,0,0,1,0,0,0,0,0,0
Diff+BETi+aPD1+aTIGIT+aNKG2A,5,0,0,0,0,0,1,0,0,0,0,0,0
Diff+BETi+aPD1+aTIGIT+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
Diff+BETi+aPD1+NKarm+aNKG2A,5,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aPD1+NKarm+Tdeplete,5,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aPD1+aNKG2A+Tdeplete,5,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aTIGIT+NKarm+aNKG2A,5,0,0,0,0,0,1,0,0,0,0,0,0
Diff+BETi+aTIGIT+NKarm+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
Diff+BETi+aTIGIT+aNKG2A+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
Diff+BETi+NKarm+aNKG2A+Tdeplete,5,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aPD1+aTIGIT+NKarm+aNKG2A,5,0,0,0,0,0,1,0,0,0,0,0,0
Diff+aPD1+aTIGIT+NKarm+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
Diff+aPD1+aTIGIT+aNKG2A+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
Diff+aPD1+NKarm+aNKG2A+Tdeplete,5,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aTIGIT+NKarm+aNKG2A+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
BETi+aPD1+aTIGIT+NKarm+aNKG2A,5,0,0,0,0,0,1,0,0,0,0,0,0
BETi+aPD1+aTIGIT+NKarm+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
BETi+aPD1+aTIGIT+aNKG2A+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
BETi+aPD1+NKarm+aNKG2A+Tdeplete,5,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aTIGIT+NKarm+aNKG2A+Tdeplete,5,0,0,0,0,0,1,0,1,1,0,1,1
aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,5,1,0,0,0,0,1,0,1,1,0,1,0
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+NKarm,6,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+aNKG2A,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+Tdeplete,6,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aTIGIT+NKarm,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aTIGIT+aNKG2A,6,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+aTIGIT+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+NKarm+aNKG2A,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+NKarm+Tdeplete,6,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+aTIGIT+NKarm,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+aTIGIT+aNKG2A,6,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+aPD1+aTIGIT+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+NKarm+aNKG2A,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+NKarm+Tdeplete,6,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+aTIGIT+NKarm,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+aTIGIT+aNKG2A,6,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+BETi+aPD1+aTIGIT+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+NKarm+aNKG2A,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+NKarm+Tdeplete,6,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+BETi+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+BETi+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+aPD1+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+aPD1+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+Diff+BETi+aPD1+aTIGIT+NKarm,6,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+aTIGIT+aNKG2A,6,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+aTIGIT+Tdeplete,6,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+NKarm+aNKG2A,6,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+NKarm+Tdeplete,6,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+aNKG2A+Tdeplete,6,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+Diff+BETi+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+Diff+aPD1+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+BETi+aPD1+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+BETi+aPD1+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,6,1,1,1,0,0,1,1,0,1,0,1,0
CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm,6,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+BETi+aPD1+aTIGIT+aNKG2A,6,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+Diff+BETi+aPD1+aTIGIT+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+BETi+aPD1+NKarm+aNKG2A,6,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aPD1+NKarm+Tdeplete,6,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aPD1+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+Diff+BETi+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+BETi+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+Diff+BETi+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+Diff+aPD1+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+aPD1+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+Diff+aPD1+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+BETi+aPD1+aTIGIT+NKarm+aNKG2A,6,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+BETi+aPD1+aTIGIT+NKarm+Tdeplete,6,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+BETi+aPD1+aTIGIT+aNKG2A+Tdeplete,6,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+BETi+aPD1+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+BETi+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,1,1,0,1,1,1,1,1,1,1,1
Diff+BETi+aPD1+aTIGIT+NKarm+aNKG2A,6,0,0,0,0,0,1,0,0,0,0,0,0
Diff+BETi+aPD1+aTIGIT+NKarm+Tdeplete,6,0,0,0,0,0,1,0,1,1,0,1,1
Diff+BETi+aPD1+aTIGIT+aNKG2A+Tdeplete,6,0,0,0,0,0,1,0,1,1,0,1,1
Diff+BETi+aPD1+NKarm+aNKG2A+Tdeplete,6,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,0,0,0,0,1,0,1,1,0,1,1
Diff+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,0,0,0,0,1,0,1,1,0,1,1
BETi+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,6,0,0,0,0,0,1,0,1,1,0,1,1
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm,7,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT+aNKG2A,7,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT+Tdeplete,7,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+NKarm+aNKG2A,7,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+NKarm+Tdeplete,7,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+aNKG2A+Tdeplete,7,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aTIGIT+NKarm+aNKG2A,7,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+aTIGIT+NKarm+Tdeplete,7,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aTIGIT+aNKG2A+Tdeplete,7,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+aTIGIT+NKarm+aNKG2A,7,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+aPD1+aTIGIT+NKarm+Tdeplete,7,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+aTIGIT+aNKG2A+Tdeplete,7,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+aPD1+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+BETi+aPD1+aTIGIT+NKarm+aNKG2A,7,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+BETi+aPD1+aTIGIT+NKarm+Tdeplete,7,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+aTIGIT+aNKG2A+Tdeplete,7,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+BETi+aPD1+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+Diff+BETi+aPD1+aTIGIT+NKarm+aNKG2A,7,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+aTIGIT+NKarm+Tdeplete,7,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+aTIGIT+aNKG2A+Tdeplete,7,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+Diff+BETi+aPD1+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+Diff+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,0,1,1,0,1,0,1,1
EpiPrime+BETi+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,0,1,1,0,1,0,1,1
CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm+aNKG2A,7,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm+Tdeplete,7,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+BETi+aPD1+aTIGIT+aNKG2A+Tdeplete,7,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+Diff+BETi+aPD1+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+Diff+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+BETi+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,1,1,0,1,1,1,1,1,1,1,1
Diff+BETi+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,7,0,0,0,0,0,1,0,1,1,0,1,1
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm+aNKG2A,8,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm+Tdeplete,8,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT+aNKG2A+Tdeplete,8,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+aPD1+NKarm+aNKG2A+Tdeplete,8,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aTIGIT+NKarm+aNKG2A+Tdeplete,8,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,8,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+BETi+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,8,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+Diff+BETi+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,8,0,1,1,0,0,1,1,0,1,0,1,1
CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,8,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm+aNKG2A+Tdeplete,9,0,1,1,0,1,1,1,1,1,1,1,1
